Gender,Location,Product,Rating,Review
Female,Florida,Headphones,2,"Not satisfied, overhyped and overpriced."
Male,Texas,Headphones,5,"Outstanding performance, very smooth operation!"
Male,New York,Headphones,3,"The product is okay, does what it promises."
Female,London,Monitor,1,"Disappointed, very slow performance."
Male,London,Monitor,2,"Disappointed, very slow performance."
Male,London,Monitor,1,"Not satisfied, overhyped and overpriced."
Female,Berlin,Smartwatch,2,"Poor build quality, stopped working after a week."
Male,Texas,Headphones,2,"Not satisfied, overhyped and overpriced."
Male,Delhi,Keyboard,5,Highly recommend for anyone looking for quality!
Male,Berlin,Laptop,5,"Value for money, works perfectly!"
Male,Florida,Headphones,3,"The product is okay, does what it promises."
Male,Delhi,Smartwatch,5,Highly recommend for anyone looking for quality!
Female,Texas,Bluetooth Speaker,5,Amazing battery life and great display.
Male,Florida,Keyboard,4,Amazing battery life and great display.
Male,Berlin,Monitor,4,Amazing battery life and great display.
Female,London,Smartwatch,4,Highly recommend for anyone looking for quality!
Female,Florida,Bluetooth Speaker,1,"Not satisfied, overhyped and overpriced."
Female,Texas,Bluetooth Speaker,1,"Defective product, avoid buying this."
Female,Texas,Camera,4,"Value for money, works perfectly!"
Male,London,Monitor,3,"The product is okay, does what it promises."
Female,Washington,Smartphone,3,It’s functional but could be improved.
Female,California,Smartwatch,5,"Excellent product, exceeded my expectations!"
Female,Sydney,Bluetooth Speaker,1,"Battery drains too quickly, not worth the price."
Female,Florida,Keyboard,4,"Outstanding performance, very smooth operation!"
Female,New York,Bluetooth Speaker,5,"Value for money, works perfectly!"
Male,Tokyo,Bluetooth Speaker,4,Amazing battery life and great display.
Male,London,Headphones,2,"Battery drains too quickly, not worth the price."
Male,Washington,Laptop,3,"Works fine for regular use, nothing special."
Male,Delhi,Smartwatch,1,"Defective product, avoid buying this."
Male,New York,Monitor,4,"Value for money, works perfectly!"
Female,California,Gaming Console,4,"Outstanding performance, very smooth operation!"
Female,California,Headphones,4,Amazing battery life and great display.
Male,Delhi,Monitor,3,"Average quality, neither great nor bad."
Female,Tokyo,Keyboard,4,"Value for money, works perfectly!"
Female,New York,Smartphone,3,The features are decent for the price.
Female,Sydney,Headphones,3,It’s functional but could be improved.
Female,Texas,Bluetooth Speaker,5,"Outstanding performance, very smooth operation!"
Female,Florida,Bluetooth Speaker,3,It’s functional but could be improved.
Male,Florida,Tablet,3,"Works fine for regular use, nothing special."
Female,Tokyo,Smartwatch,3,The features are decent for the price.
Female,California,Camera,4,"Value for money, works perfectly!"
Female,Washington,Tablet,1,"Poor build quality, stopped working after a week."
Female,Tokyo,Headphones,5,Highly recommend for anyone looking for quality!
Male,New York,Headphones,4,"Outstanding performance, very smooth operation!"
Male,Berlin,Monitor,2,"Not satisfied, overhyped and overpriced."
Male,Florida,Camera,5,Amazing battery life and great display.
Female,New York,Gaming Console,2,"Defective product, avoid buying this."
Female,New York,Bluetooth Speaker,2,"Not satisfied, overhyped and overpriced."
Female,London,Bluetooth Speaker,2,"Defective product, avoid buying this."
Male,Texas,Monitor,2,"Disappointed, very slow performance."
Male,Texas,Headphones,4,"Excellent product, exceeded my expectations!"
Male,Sydney,Smartwatch,3,It’s functional but could be improved.
Male,Washington,Gaming Console,1,"Poor build quality, stopped working after a week."
Female,New York,Keyboard,2,"Defective product, avoid buying this."
Female,Delhi,Smartwatch,2,"Defective product, avoid buying this."
Male,Tokyo,Smartphone,1,"Poor build quality, stopped working after a week."
Female,Delhi,Keyboard,2,"Disappointed, very slow performance."
Female,London,Smartwatch,1,"Not satisfied, overhyped and overpriced."
Female,Texas,Headphones,3,"Average quality, neither great nor bad."
Male,Sydney,Bluetooth Speaker,2,"Battery drains too quickly, not worth the price."
Female,Texas,Laptop,5,Amazing battery life and great display.
Female,California,Headphones,4,"Excellent product, exceeded my expectations!"
Male,London,Monitor,5,"Outstanding performance, very smooth operation!"
Female,Tokyo,Camera,4,"Value for money, works perfectly!"
Male,Florida,Smartwatch,1,"Disappointed, very slow performance."
Male,California,Gaming Console,5,"Outstanding performance, very smooth operation!"
Female,Delhi,Keyboard,5,"Outstanding performance, very smooth operation!"
Male,New York,Camera,2,"Disappointed, very slow performance."
Female,Berlin,Tablet,1,"Poor build quality, stopped working after a week."
Female,Texas,Smartphone,1,"Not satisfied, overhyped and overpriced."
Female,Sydney,Gaming Console,3,It’s functional but could be improved.
Female,New York,Gaming Console,5,Amazing battery life and great display.
Female,Delhi,Laptop,5,Highly recommend for anyone looking for quality!
Female,Berlin,Keyboard,4,Amazing battery life and great display.
Male,New York,Monitor,1,"Not satisfied, overhyped and overpriced."
Male,London,Smartphone,1,"Disappointed, very slow performance."
Male,New York,Laptop,2,"Defective product, avoid buying this."
Male,Berlin,Monitor,4,"Value for money, works perfectly!"
Male,Delhi,Headphones,4,"Value for money, works perfectly!"
Female,California,Laptop,5,"Excellent product, exceeded my expectations!"
Male,New York,Headphones,4,"Outstanding performance, very smooth operation!"
Female,Tokyo,Monitor,3,It’s functional but could be improved.
Female,Tokyo,Headphones,4,Amazing battery life and great display.
Female,Florida,Camera,4,Amazing battery life and great display.
Male,Berlin,Smartphone,2,"Poor build quality, stopped working after a week."
Male,Texas,Monitor,5,"Value for money, works perfectly!"
Female,Florida,Tablet,1,"Disappointed, very slow performance."
Male,Tokyo,Keyboard,3,It’s functional but could be improved.
Female,New York,Headphones,2,"Disappointed, very slow performance."
Female,New York,Camera,4,"Value for money, works perfectly!"
Male,Tokyo,Smartwatch,2,"Battery drains too quickly, not worth the price."
Female,Berlin,Tablet,4,Highly recommend for anyone looking for quality!
Male,Texas,Camera,4,Amazing battery life and great display.
Male,Washington,Camera,2,"Poor build quality, stopped working after a week."
Male,California,Smartwatch,2,"Battery drains too quickly, not worth the price."
Male,Texas,Headphones,2,"Battery drains too quickly, not worth the price."
Male,California,Headphones,5,"Excellent product, exceeded my expectations!"
Female,Delhi,Tablet,4,"Outstanding performance, very smooth operation!"
Male,Sydney,Smartphone,4,"Value for money, works perfectly!"
Female,Berlin,Monitor,1,"Poor build quality, stopped working after a week."
